"outcome","input","quant"
1.39655585842399e-08,2000,0.05
8.55926742286801e-08,2000,0.25
3.18626887231603e-07,2000,0.5
1.28896190975053e-06,2000,0.75
2.28420883675071e-05,2000,0.95
1.39655585842399e-08,2001,0.05
8.55926742286801e-08,2001,0.25
3.18626887231603e-07,2001,0.5
1.28896190975053e-06,2001,0.75
2.28420883675071e-05,2001,0.95
1.39655585842399e-08,2002,0.05
8.55926742286801e-08,2002,0.25
3.18626887231603e-07,2002,0.5
1.28896190975053e-06,2002,0.75
2.28420883675071e-05,2002,0.95
1.39655585842399e-08,2003,0.05
8.55926742286801e-08,2003,0.25
3.18626887231603e-07,2003,0.5
1.28896190975053e-06,2003,0.75
2.28420883675071e-05,2003,0.95
1.39655585842399e-08,2004,0.05
8.55926742286801e-08,2004,0.25
3.18626887231603e-07,2004,0.5
1.28896190975053e-06,2004,0.75
2.28420883675071e-05,2004,0.95
1.39655585842399e-08,2005,0.05
8.55926742286801e-08,2005,0.25
3.18626887231603e-07,2005,0.5
1.28896190975053e-06,2005,0.75
2.28420883675071e-05,2005,0.95
1.39655585842399e-08,2006,0.05
8.55926742286801e-08,2006,0.25
3.18626887231603e-07,2006,0.5
1.28896190975053e-06,2006,0.75
2.28420883675071e-05,2006,0.95
1.39655585842399e-08,2007,0.05
8.55926742286801e-08,2007,0.25
3.18626887231603e-07,2007,0.5
1.28896190975053e-06,2007,0.75
2.28420883675071e-05,2007,0.95
1.39655585842399e-08,2008,0.05
8.55926742286801e-08,2008,0.25
3.18626887231603e-07,2008,0.5
1.28896190975053e-06,2008,0.75
2.28420883675071e-05,2008,0.95
1.39655585842399e-08,2009,0.05
8.55926742286801e-08,2009,0.25
3.18626887231603e-07,2009,0.5
1.28896190975053e-06,2009,0.75
2.28420883675071e-05,2009,0.95
1.39655585842399e-08,2010,0.05
8.55926742286801e-08,2010,0.25
3.18626887231603e-07,2010,0.5
1.28896190975053e-06,2010,0.75
2.28420883675071e-05,2010,0.95
1.39655585842399e-08,2011,0.05
8.55926742286801e-08,2011,0.25
3.18626887231603e-07,2011,0.5
1.28896190975053e-06,2011,0.75
2.28420883675071e-05,2011,0.95
1.39655585842399e-08,2012,0.05
8.55926742286801e-08,2012,0.25
3.18626887231603e-07,2012,0.5
1.28896190975053e-06,2012,0.75
2.28420883675071e-05,2012,0.95
1.39655585842399e-08,2013,0.05
8.55926742286801e-08,2013,0.25
3.18626887231603e-07,2013,0.5
1.28896190975053e-06,2013,0.75
2.28420883675071e-05,2013,0.95
1.39655585842399e-08,2014,0.05
8.55926742286801e-08,2014,0.25
3.18626887231603e-07,2014,0.5
1.28896190975053e-06,2014,0.75
2.28420883675071e-05,2014,0.95
1.39655585842399e-08,2015,0.05
8.55926742286801e-08,2015,0.25
3.18626887231603e-07,2015,0.5
1.28896190975053e-06,2015,0.75
2.28420883675071e-05,2015,0.95
1.39655585842399e-08,2016,0.05
8.55926742286801e-08,2016,0.25
3.18626887231603e-07,2016,0.5
1.28896190975053e-06,2016,0.75
2.28420883675071e-05,2016,0.95
1.39655585842399e-08,2017,0.05
8.55926742286801e-08,2017,0.25
3.18626887231603e-07,2017,0.5
1.28896190975053e-06,2017,0.75
2.28420883675071e-05,2017,0.95
1.39655585842399e-08,2018,0.05
8.55926742286801e-08,2018,0.25
3.18626887231603e-07,2018,0.5
1.28896190975053e-06,2018,0.75
2.28420883675071e-05,2018,0.95
1.39655585842399e-08,2019,0.05
8.55926742286801e-08,2019,0.25
3.18626887231603e-07,2019,0.5
1.28896190975053e-06,2019,0.75
2.28420883675071e-05,2019,0.95
1.39655585842399e-08,2020,0.05
8.55926742286801e-08,2020,0.25
3.18626887231603e-07,2020,0.5
1.28896190975053e-06,2020,0.75
2.28420883675071e-05,2020,0.95
1.39655585842399e-08,2021,0.05
8.55926742286801e-08,2021,0.25
3.18626887231603e-07,2021,0.5
1.28896190975053e-06,2021,0.75
2.28420883675071e-05,2021,0.95
1.39655585842399e-08,2022,0.05
8.55926742286801e-08,2022,0.25
3.18626887231603e-07,2022,0.5
1.28896190975053e-06,2022,0.75
2.28420883675071e-05,2022,0.95
1.39655585842399e-08,2023,0.05
8.55926742286801e-08,2023,0.25
3.18626887231603e-07,2023,0.5
1.28896190975053e-06,2023,0.75
2.28420883675071e-05,2023,0.95
